number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_prob,params_hidden_dim,params_learning_rate,params_num_layers,params_weight_decay,state
0,160.3682532456277,2024-11-17 15:08:03.039384,2024-11-17 15:15:46.709713,0 days 00:07:43.670329,16,0.2193822912033367,449,0.00010561327471732944,1,0.0028324593525374834,COMPLETE
1,229.85517410049323,2024-11-17 15:15:46.710733,2024-11-17 15:18:10.985357,0 days 00:02:24.274624,64,0.6994030921469427,333,0.004453475726031117,2,0.00014950043469493925,COMPLETE
2,162.1712245520213,2024-11-17 15:18:10.986365,2024-11-17 15:20:27.135062,0 days 00:02:16.148697,64,0.2677719552417136,471,0.0008329489351337559,1,7.102458038690224e-06,COMPLETE
3,157.7174778181497,2024-11-17 15:20:27.136064,2024-11-17 15:28:57.587842,0 days 00:08:30.451778,32,0.39793235191749143,494,0.00012127829025315915,2,0.00011038620543836427,COMPLETE
4,217.91116148213624,2024-11-17 15:28:57.589838,2024-11-17 15:32:09.222595,0 days 00:03:11.632757,64,0.5551683270648231,246,0.002320304445417228,3,0.0001414478188138058,COMPLETE
5,158.97011481980925,2024-11-17 15:32:09.223563,2024-11-17 15:34:27.820450,0 days 00:02:18.596887,32,0.4566765096389468,372,0.0010875081062384161,2,8.817308039905589e-05,COMPLETE
6,149.4560769374579,2024-11-17 15:34:27.821423,2024-11-17 15:39:32.116167,0 days 00:05:04.294744,32,0.28224233955274686,290,0.00039213745493301387,2,0.0012553230674751865,COMPLETE
7,197.9672643573025,2024-11-17 15:39:32.117168,2024-11-17 15:40:58.343654,0 days 00:01:26.226486,32,0.30827727398946714,73,0.004912118370243843,2,0.0009502079249935803,COMPLETE
8,153.84949107595799,2024-11-17 15:40:58.344670,2024-11-17 15:45:10.675527,0 days 00:04:12.330857,32,0.4220039843210309,221,0.0006672376188360417,2,0.0007359903591839682,COMPLETE
9,169.0579929450817,2024-11-17 15:45:10.676545,2024-11-17 15:49:21.208396,0 days 00:04:10.531851,16,0.6532882291304893,407,0.000947101091963547,2,8.213998962943158e-06,COMPLETE
10,159.7876670941267,2024-11-17 15:49:21.210359,2024-11-17 15:53:50.771098,0 days 00:04:29.560739,32,0.17389254924329822,150,0.0003435145796223796,3,0.009284372437382008,COMPLETE
11,162.022114959298,2024-11-17 15:53:50.772187,2024-11-17 15:57:30.669932,0 days 00:03:39.897745,32,0.40644833543518694,246,0.0003390490520012282,1,0.0007429733037581502,COMPLETE
12,152.98491710127243,2024-11-17 15:57:30.671967,2024-11-17 16:03:48.972613,0 days 00:06:18.300646,32,0.11716281514109322,209,0.00028304696527114135,3,0.0006774703745938792,COMPLETE
13,161.74280333393057,2024-11-17 16:03:48.974610,2024-11-17 16:08:21.566763,0 days 00:04:32.592153,32,0.10276947529338429,156,0.00028217385004145545,3,0.003329402740635906,COMPLETE
14,150.32666857555446,2024-11-17 16:08:21.567781,2024-11-17 16:15:18.280072,0 days 00:06:56.712291,32,0.130908127135563,296,0.00020760369857744903,3,1.8806317519422038e-06,COMPLETE
15,149.5664324469583,2024-11-17 16:15:18.282051,2024-11-17 16:26:05.191827,0 days 00:10:46.909776,16,0.31596643958603793,287,0.00019631384286997094,3,1.1170144357624067e-06,COMPLETE
16,157.7212609944132,2024-11-17 16:26:05.192865,2024-11-17 16:31:55.484045,0 days 00:05:50.291180,16,0.29572762099563366,314,0.0005148212137187585,3,1.2198251563680586e-06,COMPLETE
17,161.70950487226517,2024-11-17 16:31:55.485070,2024-11-17 16:33:39.610449,0 days 00:01:44.125379,16,0.49217900333748454,369,0.0017985826653729923,1,3.5166532099377155e-05,COMPLETE
18,402.3850485336689,2024-11-17 16:33:39.612449,2024-11-17 16:34:52.655316,0 days 00:01:13.042867,16,0.3685369674859969,165,0.009927217499110682,2,1.2918751708119473e-05,COMPLETE
19,156.33069761253498,2024-11-17 16:34:52.656340,2024-11-17 16:45:59.533861,0 days 00:11:06.877521,16,0.3318840875112601,271,0.00017192613257880653,3,3.213104071668897e-06,COMPLETE
20,150.91742400449834,2024-11-17 16:45:59.535886,2024-11-17 16:49:30.643799,0 days 00:03:31.107913,16,0.24494654849538341,348,0.0005282471044231132,2,2.9745909351121337e-05,COMPLETE
21,155.48351317198458,2024-11-17 16:49:30.644955,2024-11-17 16:56:31.390201,0 days 00:07:00.745246,32,0.20177958932495121,290,0.00018536902003544488,3,1.0057890336404017e-06,COMPLETE
22,153.94287735846802,2024-11-17 16:56:31.392133,2024-11-17 17:03:26.881018,0 days 00:06:55.488885,32,0.16178020693268916,277,0.00018986241990568513,3,3.591103858521882e-06,COMPLETE
23,150.77066521939838,2024-11-17 17:03:26.882017,2024-11-17 17:09:08.977690,0 days 00:05:42.095673,64,0.3411531457960254,310,0.000429058155636175,3,2.1861301198670253e-06,COMPLETE
24,150.93851458331307,2024-11-17 17:09:08.978692,2024-11-17 17:16:18.635217,0 days 00:07:09.656525,32,0.15156347185000432,414,0.000222330822547057,2,2.230173410049859e-05,COMPLETE
25,170.01964093040868,2024-11-17 17:16:18.636217,2024-11-17 17:27:02.888618,0 days 00:10:44.252401,16,0.24598820858954057,201,0.00013628519710042763,3,0.00028918956182101443,COMPLETE
26,154.80630828839023,2024-11-17 17:27:02.889634,2024-11-17 17:33:43.310675,0 days 00:06:40.421041,32,0.26767558870469554,251,0.00025486234664213325,3,2.2632479247677972e-06,COMPLETE
27,152.29309363298867,2024-11-17 17:33:43.312672,2024-11-17 17:44:29.586773,0 days 00:10:46.274101,16,0.5369539610634232,398,0.0001522100694028052,2,5.0653430373876325e-06,COMPLETE
