Original English Sentence,Tagged English Sentence,Original Chinese Sentence,Tagged Chinese Sentence
"And deterrence theory is a very simple theory of human behavior: If you want somebody to do less of something, add a punishment and they'll do less of it.","And deterrence theory is a very simple theory of human behavior : If you want somebody to do less of something , add a punishment and they 'll do less of it .",威?理?是人?行?最??的理?。 如果你不想要人?做某些事情， 只需要加上??，人?便不?去做了。,威 ? 理 ? 是 人 ? 行 ? 最 ? ? 的 理 ? 。 如 果 你 不 想 要 人 ? 做 某 些 事 情 ， 只 需 要 加 上 ? ? ， 人 ? 便 不 ? 去 做 了 。
"If you were to walk into one of these rooms, you would see this.","If you were to walk into one of these rooms , you would see this .",如果你走??其中一?房?，你就?看到??。,如 果 你 走 ? ? 其 中 一 ? 房 ? ， 你 就 ? 看 到 ? ? 。
"We tried to answer this simple question: Can you find a unifying language that cuts across age and income and culture that will help people themselves find a new way of living, see spaces around them differently, think about the resources they use differently, interact differently?","We tried to answer this simple question : Can you find a unifying language that cuts across age and income and culture that will help people themselves find a new way of living , see spaces around them differently , think about the resources they use differently , interact differently ?",我???回答????的?? 你能找到一种?一的?言 即使跨越?代 收入和文化?仍然能??助人?自己 找到一种新的生活方式 看看身??特的空? 想想人??出心裁的 不同交流方式 的不同?源,我 ? ? ? 回 答 ? ? ? ? 的 ? ? 你 能 找 到 <MISC>一 <\MISC> 种 ? 一 的 ? 言 即 使 跨 越 ? 代 收 入 和 文 化 ? 仍 然 能 ? ? 助 人 ? 自 己 找 到 <MISC>一 <\MISC> 种 新 的 生 活 方 式 看 看 身 ? ? 特 的 空 ? 想 想 人 ? ? 出 心 裁 的 不 同 交 流 方 式 的 不 同 ? 源
Here's how a philosopher explains the sawing-the-lady-in-half trick.,Here 's how a philosopher explains the sawing-the-lady-in-half trick .,哲?家如何解??女士?成?半的魔?呢。,哲 ? 家 如 何 解 ? ? 女 士 ? 成 <MISC>? <\MISC> <MISC>半 <\MISC> 的 魔 ? 呢 。
So you create a bridge between the media and the anonymous women.,So you create a bridge between the media and the anonymous women .,所以你就架起了一座?梁， 一?是媒体，一?是那些不知名的?女。,所 以 你 就 架 起 了 <MISC>一 <\MISC> 座 ? 梁 ， <MISC>一 <\MISC> ? 是 媒 体 ， <MISC>一 <\MISC> ? 是 那 些 不 知 名 的 ? 女 。
Each layer makes it more difficult for law enforcement and others to find out who the real owner is.,Each layer makes it more difficult for law enforcement and others to find out who the real owner is .,每一?都是一??? ?令法??行者和其他人 找出真正的所有者的任?更加困?。,每 一 ? 都 是 <MISC>一 <\MISC> ? ? ? ? 令 法 ? ? 行 者 和 其 他 人 找 出 真 正 的 所 有 者 的 任 ? 更 加 困 ? 。
"But out in the landscape, one gigawatt is on the order of 50 square miles of bulldozed desert.","But out in the landscape , one gigawatt is on the order of 50 square miles of bulldozed desert .",但是在地面上， 用50平方英里的沙漠面? ?取10?瓦特的?力。 算算成本,但 是 在 地 面 上 ， 用 5 <MISC>0 <\MISC> <MISC>平 <\MISC> <MISC>方 <\MISC> <MISC>英 <\MISC> 里 的 沙 漠 面 ? ? 取 1 0 ? 瓦 特 的 ? 力 。 算 算 成 本
Finding that 18th camel in the world's conflicts has been my life passion.,Finding that 18th camel in the world 's conflicts has been my life passion .,找出世界?端的第18只?? ?在成?了我一生的激情所在。,找 出 世 界 ? 端 的 第 1 8 只 ? ? ? 在 成 ? 了 我 一 生 的 激 情 所 在 。
"They got a completely fully funded start-up, and they don't have to, you know, get VCs involved or anything, just excite the people with their great project.","They got a completely fully funded start-up , and they do n't have to , you know , get VCs involved or anything , just excite the people with their great project .",他?得以起步 不必涉及到??投? 只用全力做出?大家惊喜的?品,他 ? 得 以 起 步 不 必 涉 及 到 ? ? 投 ? 只 用 全 力 做 出 ? 大 家 惊 喜 的 ? 品
Maybe they started as stars and collapsed to two black holes -- each one 10 times the mass of the Sun.,Maybe they started as stars and collapsed to two black holes -- each one 10 times the mass of the Sun .,也?它?以前是恒星 之后坍?成了??黑洞 – 每一?的?量都是太?的10倍。,也 ? 它 ? 以 前 是 恒 星 之 后 坍 ? 成 了 <MISC>? <\MISC> ? 黑 洞 – 每 一 ? 的 ? 量 都 是 太 ? 的 1 0 倍 。
