english_text,chinese_text,entities
"Thank you so much, Chris. And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.",非常谢谢，克里斯。的确非常荣幸 能有第二次站在这个台上的机会，我真是非常感激。,"[{'original_entity': 'Chris', 'translated_entity': '克里斯', 'entity_type': 'PERSON'}]"
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.",这个会议真是让我感到惊叹不已，我还要谢谢你们留下的 关于我上次演讲的精彩评论,[]
"And I say that sincerely, partly because  I need that.  Put yourselves in my position.",我是非常真诚的，部分原因是因为----我的确非常需要！ 你设身处地为我想想！,[]
I flew on Air Force Two for eight years.,我坐了8年的空军二号。,"[{'original_entity': 'Air Force Two', 'translated_entity': '空军二号', 'entity_type': 'PRODUCT'}, {'original_entity': 'eight years', 'translated_entity': '八年', 'entity_type': 'DATE'}]"
Now I have to take off my shoes or boots to get on an airplane!,不过现在上飞机前我则要脱掉我的鞋子,[]
I'll tell you one quick story to illustrate what that's been like for me.,我给你讲个小故事来形容我现在是什么样的,"[{'original_entity': 'one', 'translated_entity': '一个', 'entity_type': 'CARDINAL'}]"
It's a true story -- every bit of this is true.,这是个真实的故事--每一点都是如此。,[]
Soon after Tipper and I left the --  White House --  we were driving from our home in Nashville to a little farm we have 50 miles east of Nashville.,就在我和Tipper离开白宫稍后不久 -- -- 我们驱车从纳什维尔的家开到 我们在东边50里外的一个小农场--,"[{'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}, {'original_entity': 'White House', 'translated_entity': '白宫', 'entity_type': 'ORG'}, {'original_entity': 'Nashville', 'translated_entity': '纳什维尔', 'entity_type': 'GPE'}, {'original_entity': '50 miles', 'translated_entity': '50英里', 'entity_type': 'QUANTITY'}, {'original_entity': 'Nashville', 'translated_entity': '纳什维尔', 'entity_type': 'GPE'}]"
Driving ourselves.,自己开车,[]
"I know it sounds like a little thing to you, but -- I looked in the rear-view mirror and all of a sudden it just hit me.",我知道这对你们来说是小事一桩，但是 ---- 正当我看着后视镜的时候，突然感到非常惊奇。,[]
There was no motorcade back there.,后面竟然没有车队。,[]
You've heard of phantom limb pain?,你们听过幻肢痛么？,[]
"This was a rented Ford Taurus.  It was dinnertime, and we started looking for a place to eat.",这辆福特Taurus是租来的，这时刚好是晚饭的时候 我们就开始找吃饭的地方,"[{'original_entity': 'Ford', 'translated_entity': '福特', 'entity_type': 'ORG'}, {'original_entity': 'Taurus', 'translated_entity': '龍屬', 'entity_type': 'PRODUCT'}]"
"We were on I-40. We got to Exit 238, Lebanon, Tennessee.",我们在40号洲际公路上，要在238出口下到田纳西州的黎巴嫩市,"[{'original_entity': 'I-40', 'translated_entity': 'I-40號', 'entity_type': 'PRODUCT'}, {'original_entity': 'Exit 238', 'translated_entity': '238號出口', 'entity_type': 'FAC'}, {'original_entity': 'Lebanon', 'translated_entity': '黎巴嫩', 'entity_type': 'GPE'}, {'original_entity': 'Tennessee', 'translated_entity': '田纳西州', 'entity_type': 'GPE'}]"
"We got off the exit, we found a Shoney's restaurant.",我们从出口下来，开始寻找一家--我们找到了Shoney餐馆。,"[{'original_entity': 'Shoney', 'translated_entity': '肖尼', 'entity_type': 'PERSON'}]"
"Low-cost family restaurant chain, for those of you who don't know it.",你们有些人也许不知道，这是家低成本的家庭连锁餐厅,[]
"We went in and sat down at the booth, and the waitress came over, made a big commotion over Tipper.  She took our order, and then went to the couple in the booth next to us, and she lowered her voice so much, I had to really strain to hear what she was saying.",我们走进去后坐在小亭子里，女服务员也走了过来。 我跟Tipper引起了一阵骚动。 她写单后走到我们旁边亭子里的一对情侣边， 然后她的声音变得非常小以至于我要竖起耳朵才能听到她在说什么,"[{'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}]"
"And she said ""Yes, that's former Vice President Al Gore and his wife, Tipper.""",接着她说”是的，他们就是前副总统艾尔·戈尔和他的妻子Tipper。“,"[{'original_entity': 'Al Gore', 'translated_entity': '阿尔·戈尔', 'entity_type': 'PERSON'}, {'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}]"
"And the man said, ""He's come down a long way, hasn't he?""",那个男的接着说，“他已经非常努力了，不是吗？“,[]
There's been kind of a series of epiphanies.,已经算是有些显灵了。,[]
"The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.",第二天，继续一个完全真实的故事。 我登上G-5就飞到非洲的尼尔利亚做演讲去了， 在首都拉各斯，主题则是关于能源。,"[{'original_entity': 'next day', 'translated_entity': '第二天', 'entity_type': 'DATE'}, {'original_entity': 'Africa', 'translated_entity': '非洲', 'entity_type': 'LOC'}, {'original_entity': 'Nigeria', 'translated_entity': '尼日利亚', 'entity_type': 'GPE'}, {'original_entity': 'Lagos', 'translated_entity': '拉戈斯', 'entity_type': 'GPE'}]"
And I began the speech by telling them the story of what had just happened the day before in Nashville.,而演讲开始我则把前一天发生在纳什维尔州 的故事讲了一遍。,"[{'original_entity': 'the day', 'translated_entity': '那一天', 'entity_type': 'DATE'}, {'original_entity': 'Nashville', 'translated_entity': '纳什维尔', 'entity_type': 'GPE'}]"
"And I told it pretty much the same way I've just shared it with you: Tipper and I were driving ourselves, Shoney's, low-cost family restaurant chain, what the man said -- they laughed.",就如同刚刚我给你们讲的故事一模一样。 我妻子和我自己开车，Shoney's餐馆，低成本家庭连锁餐厅 饭店那个男人的话--然后观众笑了,"[{'original_entity': 'Tipper', 'translated_entity': '蒂珀', 'entity_type': 'PERSON'}, {'original_entity': 'Shoney', 'translated_entity': '肖尼', 'entity_type': 'PERSON'}]"
"I gave my speech, then went back out to the airport to fly back home.",演讲完后就开到飞机场飞回老家了,[]
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.",接着我就在飞机上睡着了，直到三更半夜才醒来， 飞机在亚速尔群岛降落加油。,"[{'original_entity': 'the middle of the night', 'translated_entity': '夜中', 'entity_type': 'DATE'}, {'original_entity': 'the Azores Islands', 'translated_entity': '阿索尔群岛', 'entity_type': 'GPE'}]"
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.",我醒了过来，走出飞机去呼吸点新鲜空气， 然后我看到有个人跑过飞机跑道,[]
"And he was waving a piece of paper, and he was yelling, ""Call Washington! Call Washington!""",他一边挥舞着一张纸，一边大喊， ”打电话给华盛顿！打电话给华盛顿！“,"[{'original_entity': 'Call Washington', 'translated_entity': '华盛顿电话', 'entity_type': 'WORK_OF_ART'}]"
"And I thought to myself, in the middle of the night, in the middle of the Atlantic, what in the world could be wrong in Washington?",然后我自己在那思考，三更半夜在大西洋的中心 那么华盛顿能有什么出错呢？,"[{'original_entity': 'the middle of the night', 'translated_entity': '夜中', 'entity_type': 'DATE'}, {'original_entity': 'Atlantic', 'translated_entity': '大西洋', 'entity_type': 'LOC'}, {'original_entity': 'Washington', 'translated_entity': '华盛顿', 'entity_type': 'GPE'}]"
Then I remembered it could be a bunch of things.,接下来我记起来原来还是有很多事情的。,[]
