cctv/00/cctv_0000 CCTV4_ACROSSCHINA_CMN_20050812_150501
cctv/00/cctv_0001 CCTV4_ACROSSCHINA_CMN_20050817_150500
cctv/00/cctv_0002 CCTV4_TDYFOCUS_CMN_20051118_081300
cctv/00/cctv_0003 CCTV4_TDYFOCUS_CMN_20051121_081300
cctv/00/cctv_0004 CCTV4_TDYFOCUS_CMN_20051130_082800
cctv/00/cctv_0005 CCTV4_TDYFOCUS_CMN_20060104_082800
cctv/00/cctv_0006 CCTV4_TDYFOCUS_CMN_20060116_082800
cctv/00/cctv_0007 CCTV4_TDYFOCUS_CMN_20060118_082900
cnn/00/cnn_0000 CNN_AARONBROWN_ENG_20051101_215800
cnn/00/cnn_0001 CNN_AARONBROWN_ENG_20051108_215800
cnn/00/cnn_0002 CNN_LARRYKING_ENG_20051014_210000
cnn/00/cnn_0003 CNN_LARRYKING_ENG_20051031_205800
cnn/00/cnn_0004 CNN_RELIASRC_ENG_20050717_113000
msnbc/00/msnbc_0000 MSNBC_MEETPRESS_ENG_20060326_215801
phoenix/00/phoenix_0000 PHOENIX_DATELUYU_CMN_20051022_013000
phoenix/00/phoenix_0001 PHOENIX_DATELUYU_CMN_20060117_143800
phoenix/00/phoenix_0002 PHOENIX_NEWSLINE_CMN_20051013_121500
phoenix/00/phoenix_0003 PHOENIX_NEWSLINE_CMN_20051102_121300
phoenix/00/phoenix_0004 PHOENIX_NEWSLINE_CMN_20051103_121401
phoenix/00/phoenix_0005 PHOENIX_PASSIONCN_CMN_20051003_053000
phoenix/00/phoenix_0006 PHOENIX_PASSIONCN_CMN_20051010_053000
phoenix/00/phoenix_0007 PHOENIX_SOCWATCH_CMN_20050915_230001
phoenix/00/phoenix_0008 PHOENIX_SOCWATCH_CMN_20050929_230000
phoenix/00/phoenix_0009 PHOENIX_SOCWATCH_CMN_20051020_230000
phoenix/00/phoenix_0010 PHOENIX_SOCWATCH_CMN_20051027_230001
phoenix/00/phoenix_0011 PHOENIX_SOCWATCH_CMN_20051103_225900
p2.5_cmn/00/p2.5_cmn_0001 ANHUI_POLITICALCONSULT_CMN_20061212_175400-S1
p2.5_cmn/00/p2.5_cmn_0002 CCTV1_LEGALREPORT_CMN_20061122_123701-S1
p2.5_cmn/00/p2.5_cmn_0003 CCTV1_LEGALREPORT_CMN_20061128_123701-S1
p2.5_cmn/00/p2.5_cmn_0004 CCTV1_LEGALREPORT_CMN_20061204_123701-S1
p2.5_cmn/00/p2.5_cmn_0005 CCTV1_LEGALREPORT_CMN_20061207_123702-S1
p2.5_cmn/00/p2.5_cmn_0006 CCTV1_LEGALREPORT_CMN_20061213_123701-S1
p2.5_cmn/00/p2.5_cmn_0007 CCTV4_ACROSSSTRAIT_CMN_20061215_130034-S1
p2.5_cmn/00/p2.5_cmn_0008 CCTV4_ACROSSSTRAIT_CMN_20061215_130034-S9
p2.5_cmn/00/p2.5_cmn_0009 CCTV4_NEWS3_CMN_20061130_075801-S1
p2.5_cmn/00/p2.5_cmn_0010 CCTV4_NEWS3_CMN_20061130_075801-S9
