xinhua/00/chtb_0001 XIN.19960210.0178
xinhua/00/chtb_0002 XIN.19960211.0308
xinhua/00/chtb_0003 XIN.19960212.0364
xinhua/00/chtb_0004 XIN.19960213.0455
xinhua/00/chtb_0005 XIN.19960202.0057
xinhua/00/chtb_0006 XIN.19960213.0457
xinhua/00/chtb_0007 XIN.19960213.0490
xinhua/00/chtb_0008 XIN.19960214.0546
xinhua/00/chtb_0009 XIN.19960215.0596
xinhua/00/chtb_0010 XIN.19960216.0842
xinhua/00/chtb_0011 XIN.19960220.0116
xinhua/00/chtb_0012 XIN.19960223.0259
xinhua/00/chtb_0013 XIN.19960224.0282
xinhua/00/chtb_0014 XIN.19960227.0504
xinhua/00/chtb_0015 XIN.19960228.0729
xinhua/00/chtb_0016 XIN.19960229.0116
xinhua/00/chtb_0017 XIN.19960229.0119
xinhua/00/chtb_0018 XIN.19960203.0220
xinhua/00/chtb_0019 XIN.19960206.0445
xinhua/00/chtb_0020 XIN.19960207.0453
xinhua/00/chtb_0021 XIN.19960308.0989
xinhua/00/chtb_0022 XIN.19960310.0068
xinhua/00/chtb_0023 XIN.19960310.0172
xinhua/00/chtb_0024 XIN.19960302.0205
xinhua/00/chtb_0025 XIN.19960313.0494
xinhua/00/chtb_0026 XIN.19960315.0636
xinhua/00/chtb_0027 XIN.19960317.0812
xinhua/00/chtb_0028 XIN.19960319.0953
xinhua/00/chtb_0029 XIN.19960319.0077
xinhua/00/chtb_0030 XIN.19960323.0322
xinhua/00/chtb_0031 XIN.19960329.0865
xinhua/00/chtb_0032 XIN.19960303.0336
xinhua/00/chtb_0033 XIN.19960304.0416
xinhua/00/chtb_0034 XIN.19960304.0452
xinhua/00/chtb_0035 XIN.19960406.1294
xinhua/00/chtb_0036 XIN.19960413.0224
xinhua/00/chtb_0037 XIN.19960415.0527
xinhua/00/chtb_0038 XIN.19960418.0869
xinhua/00/chtb_0039 XIN.19960421.0210
xinhua/00/chtb_0040 XIN.19960405.1267
xinhua/00/chtb_0041 XIN.19971204.0043
xinhua/00/chtb_0042 XIN.19971207.0056
xinhua/00/chtb_0043 XIN.19971209.0055
xinhua/00/chtb_0044 XIN.19971201.0076
xinhua/00/chtb_0045 XIN.19971211.0067
xinhua/00/chtb_0046 XIN.19971214.0050
xinhua/00/chtb_0047 XIN.19971215.0104
xinhua/00/chtb_0048 XIN.19971215.0105
xinhua/00/chtb_0049 XIN.19971216.0045
xinhua/00/chtb_0050 XIN.19971216.0055
xinhua/00/chtb_0051 XIN.19971216.0047
xinhua/00/chtb_0052 XIN.19971217.0010
xinhua/00/chtb_0053 XIN.19971217.0013
xinhua/00/chtb_0054 XIN.19971217.0074
xinhua/00/chtb_0055 XIN.19971217.0078
xinhua/00/chtb_0056 XIN.19971217.0057
xinhua/00/chtb_0057 XIN.19971218.0040
xinhua/00/chtb_0058 XIN.19971218.0048
xinhua/00/chtb_0059 XIN.19971220.0037
xinhua/00/chtb_0060 XIN.19971220.0054
xinhua/00/chtb_0061 XIN.19971220.0062
xinhua/00/chtb_0062 XIN.19971221.0032
xinhua/00/chtb_0063 XIN.19971202.0062
xinhua/00/chtb_0064 XIN.19971221.0035
xinhua/00/chtb_0065 XIN.19971221.0069
xinhua/00/chtb_0066 XIN.19971221.0070
xinhua/00/chtb_0067 XIN.19971222.0012
xinhua/00/chtb_0068 XIN.19971222.0040
xinhua/00/chtb_0069 XIN.19971222.0044
xinhua/00/chtb_0070 XIN.19971222.0057
xinhua/00/chtb_0071 XIN.19971222.0072
xinhua/00/chtb_0072 XIN.19971222.0078
xinhua/00/chtb_0073 XIN.19971222.0082
xinhua/00/chtb_0074 XIN.19971202.0084
xinhua/00/chtb_0075 XIN.19971225.0027
